Price,Close,High,Low,Open,Volume,Adj Close
Ticker,AXP,AXP,AXP,AXP,AXP,
Date,,,,,,
2015-02-03,72.10368347167969,72.13812349471445,71.07891868097606,71.11336527402665,5586200,72.10368347167969
2015-02-04,72.00035095214844,72.740936352368,71.75923134649864,71.90562445421223,6155700,72.00035095214844
2015-02-05,72.96483612060547,73.13706253362281,72.40509042327432,72.55148353134071,3966600,72.96483612060547
2015-02-06,73.2059097290039,74.06705439303637,72.99923027922719,73.29202288140468,5139700,73.2059097290039
2015-02-09,73.18009948730469,73.4126057290125,72.59452066854249,72.79258032443906,3101300,73.18009948730469
2015-02-10,73.92069244384766,74.03264551198099,73.30067348887047,73.71401945885526,3589900,73.92069244384766
2015-02-11,74.06710052490234,74.2134936321642,73.47290823422993,73.94654072244946,4374800,74.06710052490234
2015-02-12,69.30496215820312,70.20916059232141,68.89160960973771,68.91744291213882,32653100,69.30496215820312
2015-02-13,67.23819732666016,68.67630777473197,66.928184628032,68.40935495036332,34874400,67.23819732666016
2015-02-17,68.09933471679688,68.30600763634327,66.41149163880515,66.44593822039849,18578300,68.09933471679688
2015-02-18,68.7021484375,69.12410765642504,67.78933682145379,67.78933682145379,13417000,68.7021484375
2015-02-19,67.5137710571289,68.87438176906186,66.79040582204469,68.79687530065296,20858000,67.5137710571289
2015-02-20,68.74519348144531,68.78824678101587,67.34152320116911,67.35874977700827,11348700,68.74519348144531
2015-02-23,69.14994049072266,69.30494684088674,68.43518862218751,68.88298109487572,6868600,69.14994049072266
2015-02-24,69.63216400146484,70.35552242737539,69.11547847295546,69.1499250508578,10951000,69.63216400146484
2015-02-25,70.76028442382812,70.82917760194671,69.64079984446902,69.89053268763756,8184700,70.76028442382812
2015-02-26,71.6903305053711,71.87978348103226,70.96697176559115,71.48365751829337,8702800,71.6903305053711
2015-02-27,70.26083374023438,71.8022844372033,70.20055383901285,71.69033792636806,8121200,70.26083374023438
2015-03-02,70.63971710205078,70.79472345125372,70.23497793635343,70.26081123288486,5503100,70.63971710205078
2015-03-03,70.5363998413086,70.55361985287927,69.66664143163239,69.74414133872423,6856100,70.5363998413086
2015-03-04,69.4341049194336,70.23496987000189,69.37382504444517,70.22636315215613,6141000,69.4341049194336
2015-03-05,69.88194274902344,70.09722907507094,69.44275680428169,69.45998338957516,5571800,69.88194274902344
2015-03-06,69.15856170654297,69.88192701561108,68.94327542896562,69.43412787904134,6530200,69.15856170654297
2015-03-09,69.33080291748047,69.60636912275731,68.84855713073355,69.02079011529194,5846100,69.33080291748047
2015-03-10,68.12517547607422,68.6935277096138,67.9185025338793,68.65908769425997,7525000,68.12517547607422
2015-03-11,68.4179916381836,68.67633785687467,68.12520538901649,68.37493831507992,4546200,68.4179916381836
2015-03-12,70.23497772216797,70.6138835901784,68.91742704296816,68.97770692469578,9386600,70.23497772216797
2015-03-13,69.4083023071289,70.31250740166391,68.84855660908421,70.18333430672799,6919400,69.4083023071289
2015-03-16,70.18331146240234,70.31248451529308,69.53745276796306,69.64939924312735,5295100,70.18331146240234
2015-03-17,69.80441284179688,69.93358590810226,69.36523361437966,69.92497261834454,4258200,69.80441284179688
2015-03-18,70.49332427978516,70.88945015797181,69.12410042886566,69.39105982395893,6449400,70.49332427978516
2015-03-19,70.21776580810547,70.57944514015978,69.70108010945431,70.47610537242349,4677000,70.21776580810547
2015-03-20,71.21668243408203,71.52669513165841,70.18331115550367,70.4330439713299,9338100,71.21668243408203
2015-03-23,70.78609466552734,71.94003202808169,70.78609466552734,71.21666703349287,7291700,70.78609466552734
2015-03-24,70.07137298583984,70.75167834337404,69.98525322740592,70.6483385752624,5217800,70.07137298583984
2015-03-25,68.98634338378906,70.1575013964349,68.91745019010011,70.11444150787516,8908000,68.98634338378906
2015-03-26,67.58267974853516,68.70216459239478,67.0746006523857,68.60743809260448,16181300,67.58267974853516
2015-03-27,67.1434555053711,67.7204208964312,66.91955603644745,67.51374800127783,9022600,67.1434555053711
2015-03-30,67.21235656738281,67.81515531999958,67.16929669790434,67.47069607421271,7285200,67.21235656738281
2015-03-31,67.49751281738281,67.85175899634184,67.06550110178968,67.29878452774068,5918300,67.49751281738281
2015-04-01,68.19735717773438,68.53432572672865,67.26421046114663,67.4370190708709,6163500,68.19735717773438
2015-04-02,68.86265563964844,68.92313700808175,67.88631166580358,68.19736058688197,5695200,68.86265563964844
2015-04-06,68.80215454101562,69.2082464377461,68.02453905328898,68.55158706022506,3831100,68.80215454101562
2015-04-07,67.67893981933594,68.5861602373052,67.61845845813798,67.90358110837177,5919200,67.67893981933594
2015-04-08,67.98997497558594,68.56886882902303,67.65300651809433,67.75668506380089,6405800,67.98997497558594
